fallback_type,fallback_condition,tea_name,priority,weight,applies_when,source_row
constitution,气虚,元气茶,3,0.6,no_step1_or_step2_match,2
constitution,气虚,舒安茶,3,0.6,no_step1_or_step2_match,2
constitution,气虚,橘红茶,3,0.6,no_step1_or_step2_match,2
constitution,阳虚,六宝茶,3,0.6,no_step1_or_step2_match,3
constitution,阳虚,固本茶,3,0.6,no_step1_or_step2_match,3
constitution,阳虚,元气茶,3,0.6,no_step1_or_step2_match,3
constitution,痰湿,香橼茶,3,0.6,no_step1_or_step2_match,4
constitution,痰湿,橘红茶,3,0.6,no_step1_or_step2_match,4
constitution,痰湿,石斛茶,3,0.6,no_step1_or_step2_match,4
constitution,痰湿,清平茶,3,0.6,no_step1_or_step2_match,4
constitution,痰湿,散云茶,3,0.6,no_step1_or_step2_match,4
constitution,痰湿,元气茶,3,0.6,no_step1_or_step2_match,4
constitution,湿热,六宝茶,3,0.6,no_step1_or_step2_match,5
constitution,湿热,石斛茶,3,0.6,no_step1_or_step2_match,5
constitution,湿热,茯清茶,3,0.6,no_step1_or_step2_match,5
constitution,湿热,香橼茶,3,0.6,no_step1_or_step2_match,5
constitution,湿热,参灵茶,3,0.6,no_step1_or_step2_match,5
constitution,湿热,元气茶,3,0.6,no_step1_or_step2_match,5
constitution,血瘀,元气茶,3,0.6,no_step1_or_step2_match,6
constitution,血瘀,参灵茶,3,0.6,no_step1_or_step2_match,6
constitution,血瘀,石斛茶,3,0.6,no_step1_or_step2_match,6
constitution,血瘀,风清茶,3,0.6,no_step1_or_step2_match,6
constitution,平和,六宝茶,3,0.6,no_step1_or_step2_match,7
constitution,平和,元气茶,3,0.6,no_step1_or_step2_match,7
constitution,平和,清和茶,3,0.6,no_step1_or_step2_match,7
constitution,特禀(容易过敏),石斛茶,3,0.6,no_step1_or_step2_match,8
constitution,特禀(容易过敏),散云茶,3,0.6,no_step1_or_step2_match,8
constitution,特禀(容易过敏),橘红茶,3,0.6,no_step1_or_step2_match,8
constitution,特禀(容易过敏),元气茶,3,0.6,no_step1_or_step2_match,8
constitution,阴虚,石斛茶,3,0.6,no_step1_or_step2_match,9
constitution,阴虚,散云茶,3,0.6,no_step1_or_step2_match,9
constitution,阴虚,平澜茶,3,0.6,no_step1_or_step2_match,9
constitution,阴虚,元气茶,3,0.6,no_step1_or_step2_match,9
constitution,气郁,舒安茶,3,0.6,no_step1_or_step2_match,10
constitution,气郁,石斛茶,3,0.6,no_step1_or_step2_match,10
constitution,气郁,元气茶,3,0.6,no_step1_or_step2_match,10
constitution,气郁,参灵茶,3,0.6,no_step1_or_step2_match,10
constitution,气郁,风清茶,3,0.6,no_step1_or_step2_match,10
