fallback_type,fallback_condition,tea_name,priority,weight,applies_when,source_row
organ,肝,石斛茶,4,0.6,no_step1_or_step2_match,2
organ,肝,桑菊茶,4,0.6,no_step1_or_step2_match,2
organ,肝,甘平茶,4,0.6,no_step1_or_step2_match,2
organ,肝,元气茶,4,0.6,no_step1_or_step2_match,2
organ,心,参灵茶,4,0.6,no_step1_or_step2_match,3
organ,心,风清茶,4,0.6,no_step1_or_step2_match,3
organ,心,舒安茶,4,0.6,no_step1_or_step2_match,3
organ,心,元气茶,4,0.6,no_step1_or_step2_match,3
organ,脾,香橼茶,4,0.6,no_step1_or_step2_match,4
organ,脾,舒安茶,4,0.6,no_step1_or_step2_match,4
organ,脾,石斛茶,4,0.6,no_step1_or_step2_match,4
organ,脾,元气茶,4,0.6,no_step1_or_step2_match,4
organ,肺,橘红茶,4,0.6,no_step1_or_step2_match,5
organ,肺,元气茶,4,0.6,no_step1_or_step2_match,5
organ,肾,茯清茶,4,0.6,no_step1_or_step2_match,6
organ,肾,固本茶,4,0.6,no_step1_or_step2_match,6
organ,肾,六宝茶,4,0.6,no_step1_or_step2_match,6
organ,肾,元气茶,4,0.6,no_step1_or_step2_match,6
