alias,canonical,source,confidence
(局部)皮肤/肌肤麻木,(局部)皮肤/肌肤麻木,term_sheet1,1.0
(某局部)灼热,(某局部)灼热,term_sheet1,1.0
(某局部)瘙痒,(某局部)瘙痒,term_sheet1,1.0
(某局部)麻木,(某局部)麻木,term_sheet1,1.0
(某局部、器官)疼痛,(某局部、器官)疼痛,term_sheet1,1.0
g6pd缺乏,蚕豆病(g6pd缺乏症),term_sheet2,1.0
g6pd缺乏症,蚕豆病(g6pd缺乏症),term_sheet2,1.0
iii度烧伤,iii度烧伤,term_sheet2,1.0
iii度烧伤,iii度烧伤,term_sheet4_self,0.6
iii度烧伤/iii度烧伤,iii度烧伤,term_sheet2,1.0
ii度以上烧伤,ii度以上烧伤,term_sheet2,1.0
ii度以上烧伤,ii度以上烧伤,term_sheet3_self,0.6
ii度以上烧伤,ii度以上烧伤,term_sheet4_self,0.6
ii度以上烧伤/ii度以上烧伤,ii度以上烧伤,term_sheet2,1.0
ii度烧伤,ii度烧伤,term_sheet2,1.0
ii度烧伤,ii度烧伤,term_sheet3_self,0.6
ii度烧伤,ii度烧伤,term_sheet4_self,0.6
ii度烧伤,ii度烧伤等,term_sheet3_self,0.6
ii度烧伤/ii度烧伤,ii度烧伤,term_sheet2,1.0
ii度烧伤等,ii度烧伤,term_sheet3_self,0.6
ii度烧伤等,ii度烧伤等,term_sheet3_self,0.6
i度烧伤,i度烧伤,term_sheet2,1.0
i度烧伤,i度烧伤,term_sheet3_self,0.6
i度烧伤,i度烧伤,term_sheet4_self,0.6
i度烧伤/i度烧伤,i度烧伤,term_sheet2,1.0
“o”型腿,膝外翻,term_sheet1_definition,0.75
“x”型腿,膝内翻,term_sheet1_definition,0.75
一侧胸部有,一侧胸部有,term_sheet2,1.0
一侧胸部有,一侧胸部有,term_sheet4_self,0.6
一侧胸部有,一侧胸部有病,term_sheet2,1.0
一侧胸部有,一侧胸部有病,term_sheet4_self,0.6
一侧胸部有,一侧胸部病变,term_sheet2,1.0
一侧胸部有病,一侧胸部有,term_sheet2,1.0
一侧胸部有病,一侧胸部有,term_sheet4_self,0.6
一侧胸部有病,一侧胸部有病,term_sheet2,1.0
一侧胸部有病,一侧胸部有病,term_sheet4_self,0.6
一侧胸部有病,一侧胸部病变,term_sheet2,1.0
一侧胸部有病/一侧胸部病变,一侧胸部病变,term_sheet2,1.0
一侧胸部病变,一侧胸部病变,term_sheet2,1.0
一氧化碳中毒,一氧化碳中毒,term_sheet2,1.0
一氧化碳中毒,一氧化碳中毒,term_sheet3_self,0.6
一氧化碳中毒,一氧化碳中毒,term_sheet4_self,0.6
一氧化碳中毒,一氧化碳中毒(现代医学概念),term_sheet2,1.0
一氧化碳中毒,一氧化碳中毒等,term_sheet3_self,0.6
一氧化碳中毒(现代医学概念),一氧化碳中毒(现代医学概念),term_sheet2,1.0
一氧化碳中毒/一氧化碳中毒(现代医学概念),一氧化碳中毒(现代医学概念),term_sheet2,1.0
一氧化碳中毒等,一氧化碳中毒,term_sheet3_self,0.6
一氧化碳中毒等,一氧化碳中毒等,term_sheet3_self,0.6
七情过激,七情过激,term_sheet2,1.0
七情过激,七情过激,term_sheet4_self,0.6
七情过激/七情过激,七情过激,term_sheet2,1.0
三叉神经痛,三叉神经痛,term_sheet1,1.0
三叉神经痛,三叉神经痛,term_sheet3_self,0.6
三叉神经痛,三叉神经痛,term_sheet4_self,0.6
三叉神经痛,三叉神经痛(中医称“面痛”),term_sheet2,1.0
三叉神经痛,三叉神经痛等,term_sheet3_self,0.6
三叉神经痛,历节风(关节疼痛),term_sheet2,1.0
三叉神经痛,肝寒证,term_sheet2,1.0
三叉神经痛,舌癌,term_sheet2,1.0
三叉神经痛(中医称“面痛”),三叉神经痛(中医称“面痛”),term_sheet2,1.0
三叉神经痛/三叉神经痛(中医称“面痛”),三叉神经痛(中医称“面痛”),term_sheet2,1.0
三叉神经痛等,三叉神经痛,term_sheet3_self,0.6
三叉神经痛等,三叉神经痛等,term_sheet3_self,0.6
三焦壅热,三焦壅热,term_sheet2,1.0
三焦壅热/三焦壅热,三焦壅热,term_sheet2,1.0
三焦壅热证,三焦壅热,term_sheet2,1.0
三焦壅热证,三焦壅热证,term_sheet3_self,0.6
三焦壅热证,三焦壅热证,term_sheet4_self,0.6
三阳热极,三阳热极,term_sheet2,1.0
三阳热极,三阳热极,term_sheet3_self,0.6
三阳热极,三阳热极,term_sheet4_self,0.6
三阳热极/三阳热极,三阳热极,term_sheet2,1.0
三阴寒极,三阴寒极,term_sheet2,1.0
三阴寒极,三阴寒极,term_sheet3_self,0.6
三阴寒极,三阴寒极,term_sheet4_self,0.6
三阴寒极/三阴寒极,三阴寒极,term_sheet2,1.0
上睑痛或下睑痛,眼睑痛,term_sheet1_definition,0.75
上肢/下肢/四肢萎缩,上肢/下肢/四肢萎缩,term_sheet1,1.0
上肢淋巴损伤,上肢淋巴损伤,term_sheet2,1.0
上肢淋巴损伤,上肢淋巴损伤,term_sheet3_self,0.6
上肢淋巴损伤,上肢淋巴损伤,term_sheet4_self,0.6
上肢淋巴损伤,上肢淋巴损伤等,term_sheet3_self,0.6
上肢淋巴损伤/上肢淋巴损伤,上肢淋巴损伤,term_sheet2,1.0
上肢淋巴损伤等,上肢淋巴损伤,term_sheet3_self,0.6
上肢淋巴损伤等,上肢淋巴损伤等,term_sheet3_self,0.6
上肢痈肿,臂痈(上肢痈肿),term_sheet2,1.0
上肢肿胀,上肢肿胀,term_sheet1,1.0
上胞下垂,上胞下垂,term_sheet2,1.0
上胞下垂,上胞下垂,term_sheet3_self,0.6
上胞下垂,上胞下垂,term_sheet4_self,0.6
上胞下垂,上胞下垂(眼睑下垂),term_sheet2,1.0
上胞下垂(眼睑下垂),上胞下垂(眼睑下垂),term_sheet2,1.0
上胞下垂/上胞下垂(眼睑下垂),上胞下垂(眼睑下垂),term_sheet2,1.0
上腭痈,上腭痈,term_sheet2,1.0
上腭痈,上腭痈,term_sheet3_self,0.6
上腭痈,上腭痈,term_sheet4_self,0.6
上腭痈,上腭痈等,term_sheet3_self,0.6
上腭痈,流注(游走性痈肿),term_sheet2,1.0
上腭痈,非特异性肛瘘,term_sheet2,1.0
上腭痈/上腭痈,上腭痈,term_sheet2,1.0
上腭痈等,上腭痈,term_sheet3_self,0.6
上腭痈等,上腭痈等,term_sheet3_self,0.6
上腭痈肿,上腭痈肿,term_sheet1,1.0
上腭腐溃,上腭腐溃,term_sheet1,1.0
上腭血疱,上腭血疱,term_sheet1,1.0
上腭黏膜白腐,上腭黏膜白腐,term_sheet1,1.0
上腹部痈肿,中脘痈(上腹部痈肿),term_sheet2,1.0
上臂外突,上臂外突,term_sheet1,1.0
下伤津,下伤津,term_sheet2,1.0
下伤津/下伤津,下伤津,term_sheet2,1.0
下伤津证,下伤津,term_sheet2,1.0
下伤津证,下伤津证,term_sheet3_self,0.6
下伤津证,下伤津证,term_sheet4_self,0.6
下伤津证,下伤津证等,term_sheet3_self,0.6
下伤津证等,下伤津证,term_sheet3_self,0.6
下伤津证等,下伤津证等,term_sheet3_self,0.6
下唇肿胀,下唇肿胀,term_sheet1,1.0
下消(糖尿病多尿),下消(糖尿病多尿),term_sheet2,1.0
下消证,下消证,term_sheet2,1.0
下消证,下消证,term_sheet3_self,0.6
下消证,下消证,term_sheet4_self,0.6
下消证,下消证(糖尿病多尿),term_sheet2,1.0
下消证,下消证等,term_sheet3_self,0.6
下消证(糖尿病多尿),下消证(糖尿病多尿),term_sheet2,1.0
下消证/下消证(糖尿病多尿),下消证(糖尿病多尿),term_sheet2,1.0
下消证等,下消证,term_sheet3_self,0.6
下消证等,下消证等,term_sheet3_self,0.6
下焦寒湿,下焦寒湿,term_sheet2,1.0
下焦寒湿/下焦寒湿,下焦寒湿,term_sheet2,1.0
下焦寒湿证,下焦寒湿,term_sheet2,1.0
下焦寒湿证,下焦寒湿证,term_sheet3_self,0.6
下焦寒湿证,下焦寒湿证,term_sheet4_self,0.6
下焦毒热,下焦毒热,term_sheet2,1.0
下焦毒热/下焦毒热,下焦毒热,term_sheet2,1.0
下焦毒热证,下焦毒热,term_sheet2,1.0
下焦毒热证,下焦毒热证,term_sheet3_self,0.6
下焦毒热证,下焦毒热证,term_sheet4_self,0.6
下焦湿热,下焦湿热,term_sheet2,1.0
下焦湿热,下焦湿热,term_sheet3_self,0.6
下焦湿热,下焦湿热,term_sheet4_self,0.6
下焦湿热,命门火衰,term_sheet2,1.0
下焦湿热,思虑过度,term_sheet2,1.0
下焦湿热,痰瘀内阻,term_sheet2,1.0
下焦湿热,胃实热,term_sheet2,1.0
下焦湿热,脑痨(脑部疾病),term_sheet2,1.0
下焦湿热/下焦湿热,下焦湿热,term_sheet2,1.0
下焦湿热证,下焦湿热,term_sheet2,1.0
下焦湿热证,下焦湿热证,term_sheet3_self,0.6
下焦湿热证,下焦湿热证,term_sheet4_self,0.6
下焦湿热证,下焦湿热证等,term_sheet3_self,0.6
下焦湿热证,命门火衰,term_sheet2,1.0
下焦湿热证,思虑过度,term_sheet2,1.0
下焦湿热证,痰瘀内阻,term_sheet2,1.0
下焦湿热证,胃实热,term_sheet2,1.0
下焦湿热证,脑痨(脑部疾病),term_sheet2,1.0
下焦湿热证等,下焦湿热证,term_sheet3_self,0.6
下焦湿热证等,下焦湿热证等,term_sheet3_self,0.6
下焦热毒,下焦热毒,term_sheet2,1.0
下焦热毒/下焦热毒,下焦热毒,term_sheet2,1.0
下焦热毒证,下焦热毒,term_sheet2,1.0
下焦热毒证,下焦热毒证,term_sheet3_self,0.6
下焦热毒证,下焦热毒证,term_sheet4_self,0.6
下焦瘀滞,下焦瘀滞,term_sheet2,1.0
下焦瘀滞,下焦瘀滞,term_sheet3_self,0.6
下焦瘀滞,下焦瘀滞,term_sheet4_self,0.6
下焦瘀滞/下焦瘀滞,下焦瘀滞,term_sheet2,1.0
下焦瘀滞证,下焦瘀滞,term_sheet2,1.0
下焦瘀滞证,下焦瘀滞证,term_sheet3_self,0.6
下焦瘀滞证,下焦瘀滞证,term_sheet4_self,0.6
下焦瘀热,下焦瘀热,term_sheet2,1.0
下焦瘀热,久病耗损,term_sheet2,1.0
下焦瘀热/下焦瘀热,下焦瘀热,term_sheet2,1.0
下焦瘀热证,下焦瘀热证,term_sheet3_self,0.6
下焦瘀热证,下焦瘀热证,term_sheet4_self,0.6
下焦瘀热证,久病耗损,term_sheet2,1.0
下焦虚,下焦虚,term_sheet2,1.0
下焦虚/下焦虚,下焦虚,term_sheet2,1.0
下焦虚寒,下焦虚寒,term_sheet2,1.0
下焦虚寒/下焦虚寒,下焦虚寒,term_sheet2,1.0
下焦虚寒证,下焦虚寒,term_sheet2,1.0
下焦虚寒证,下焦虚寒证,term_sheet3_self,0.6
下焦虚寒证,下焦虚寒证,term_sheet4_self,0.6
下焦虚证,下焦虚,term_sheet2,1.0
下焦虚证,下焦虚证,term_sheet3_self,0.6
下焦虚证,下焦虚证,term_sheet4_self,0.6
下焦虚证,下焦虚证等,term_sheet3_self,0.6
下焦虚证等,下焦虚证,term_sheet3_self,0.6
下焦虚证等,下焦虚证等,term_sheet3_self,0.6
下焦血瘀,下焦血瘀,term_sheet2,1.0
下焦血瘀/下焦血瘀,下焦血瘀,term_sheet2,1.0
下焦血瘀证,下焦血瘀,term_sheet2,1.0
下焦血瘀证,下焦血瘀证,term_sheet3_self,0.6
下焦血瘀证,下焦血瘀证,term_sheet4_self,0.6
下焦阴虚,下焦阴虚,term_sheet2,1.0
下焦阴虚,下焦阴虚,term_sheet3_self,0.6
下焦阴虚,下焦阴虚,term_sheet4_self,0.6
下焦阴虚,血丝疗(红线疹),term_sheet2,1.0
下焦阴虚/下焦阴虚,下焦阴虚,term_sheet2,1.0
下痢伤津,下痢伤津,term_sheet2,1.0
下痢伤津,下痢伤津,term_sheet3_self,0.6
下痢伤津,下痢伤津,term_sheet4_self,0.6
下痢伤津,下痢伤津等,term_sheet3_self,0.6
下痢伤津/下痢伤津,下痢伤津,term_sheet2,1.0
下痢伤津等,下痢伤津,term_sheet3_self,0.6
下痢伤津等,下痢伤津等,term_sheet3_self,0.6
下肢冷,下肢冷,term_sheet1,1.0
下肢外伤,下肢外伤,term_sheet2,1.0
下肢外伤,下肢外伤,term_sheet3_self,0.6
下肢外伤,下肢外伤,term_sheet4_self,0.6
下肢外伤/下肢外伤,下肢外伤,term_sheet2,1.0
下肢循环衰竭,下肢循环衰竭,term_sheet2,1.0
下肢循环衰竭,下肢循环衰竭,term_sheet4_self,0.6
下肢循环衰竭/下肢循环衰竭,下肢循环衰竭,term_sheet2,1.0
下肢沉重,下肢沉重,term_sheet1,1.0
下肢肿胀,下肢肿胀,term_sheet1,1.0
下肢血管栓塞,下肢血管栓塞,term_sheet2,1.0
下肢血管栓塞,下肢血管栓塞,term_sheet4_self,0.6
下肢血管栓塞/下肢血管栓塞,下肢血管栓塞,term_sheet2,1.0
下肢血管栓塞或循环衰竭,下肢血管栓塞或循环衰竭,term_sheet3_self,0.6
下肢血管栓塞或循环衰竭,下肢血管栓塞或循环衰竭等,term_sheet3_self,0.6
下肢血管栓塞或循环衰竭等,下肢血管栓塞或循环衰竭,term_sheet3_self,0.6
下肢血管栓塞或循环衰竭等,下肢血管栓塞或循环衰竭等,term_sheet3_self,0.6
下肢青脉显露,下肢青脉显露,term_sheet1,1.0
下肢青脉硬结,下肢青脉硬结,term_sheet1,1.0
下肢颤抖,下肢颤抖,term_sheet1,1.0
下颌脱落,下颌脱落,term_sheet1,1.0
不寐,失眠,term_sheet1_definition,0.75
不射精,不射精,term_sheet1,1.0
不射精,不射精,term_sheet2,1.0
不射精,不射精,term_sheet3_self,0.6
不射精,不射精,term_sheet4_self,0.6
不射精/不射精,不射精,term_sheet2,1.0
不得平卧,"坐不得卧,卧则气逆",term_sheet1_definition,0.75
不思饮食,不欲饮食,term_sheet1_definition,0.75
不易入睡,入睡难,term_sheet1_definition,0.75
不欲食,不欲饮食,term_sheet1_definition,0.75
不欲饮食,不欲饮食,term_sheet1,1.0
不眠,失眠,term_sheet1_definition,0.75
不能久立,不能久立,term_sheet1,1.0
不能坐起,不能坐起,term_sheet1,1.0
不能直立挺胸,不能直立挺胸,term_sheet1,1.0
不能眠,入睡难,term_sheet1_definition,0.75
不辨三光,不辨三光,term_sheet1,1.0
丝虫,丝虫,term_sheet2,1.0
丝虫,丝虫,term_sheet3_self,0.6
丝虫,丝虫,term_sheet4_self,0.6
丝虫,丝虫病,term_sheet2,1.0
丝虫,丝虫病,term_sheet3_self,0.6
丝虫,丝虫病,term_sheet4_self,0.6
丝虫,丝虫病(现代医学概念),term_sheet2,1.0
丝虫病,丝虫,term_sheet2,1.0
丝虫病,丝虫,term_sheet3_self,0.6
丝虫病,丝虫,term_sheet4_self,0.6
丝虫病,丝虫病,term_sheet2,1.0
丝虫病,丝虫病,term_sheet3_self,0.6
丝虫病,丝虫病,term_sheet4_self,0.6
丝虫病,丝虫病(现代医学概念),term_sheet2,1.0
丝虫病(现代医学概念),丝虫病(现代医学概念),term_sheet2,1.0
丝虫病/丝虫病(现代医学概念),丝虫病(现代医学概念),term_sheet2,1.0
两颊麻疹黏膜斑,两颊麻疹黏膜斑,term_sheet1,1.0
两颊黏膜白腐斑块,两颊黏膜白腐斑块,term_sheet1,1.0
个人体质,个人体质,term_sheet2,1.0
个人体质,个人体质,term_sheet4_self,0.6
个人体质,瘀血犯腰,term_sheet2,1.0
个人体质/体质,个人体质,term_sheet2,1.0
个人饮食习惯,个人饮食习惯,term_sheet3_self,0.6
个人饮食习惯,个人饮食习惯,term_sheet4_self,0.6
个人饮食习惯,中气不足,term_sheet2,1.0
个人饮食习惯,中气虚,term_sheet2,1.0
个人饮食习惯,心血瘀阻,term_sheet2,1.0
个人饮食习惯,肝癖(肝部肿块),term_sheet2,1.0
个人饮食习惯,肺功能衰竭,term_sheet2,1.0
个人饮食习惯,肺水肿,term_sheet2,1.0
个人饮食习惯,饮食习惯,term_sheet2,1.0
个人饮食习惯/饮食习惯,饮食习惯,term_sheet2,1.0
丫痈,丫痈,term_sheet2,1.0
丫痈,丫痈,term_sheet3_self,0.6
丫痈,丫痈,term_sheet4_self,0.6
丫痈,丫痈(腋部痈肿),term_sheet2,1.0
丫痈(腋部痈肿),丫痈(腋部痈肿),term_sheet2,1.0
丫痈/丫痈(腋部痈肿),丫痈(腋部痈肿),term_sheet2,1.0
中医眼科病症名,椒疮(中医眼科病症名),term_sheet2,1.0
中恶,中恶,term_sheet2,1.0
中恶,中恶,term_sheet3_self,0.6
中恶,中恶,term_sheet4_self,0.6
中恶,寒湿郁滞,term_sheet2,1.0
中恶,水轮阴虚,term_sheet2,1.0
中恶,疫斑热(温病的一种),term_sheet2,1.0
中恶,痰火壅喉,term_sheet2,1.0
中恶,紫癜,term_sheet2,1.0
中恶,紫癜病,term_sheet2,1.0
中恶,肿瘤,term_sheet2,1.0
中恶,阴茎痰核(阴茎纤维化),term_sheet2,1.0
中恶/中恶,中恶,term_sheet2,1.0
中暑,中暑,term_sheet2,1.0
中暑,中暑,term_sheet3_self,0.6
中暑,中暑,term_sheet4_self,0.6
中暑,病危,term_sheet2,1.0
中暑,肺肺经风热,term_sheet2,1.0
中暑/中暑,中暑,term_sheet2,1.0
中毒,中毒,term_sheet2,1.0
中毒,中毒,term_sheet3_self,0.6
中毒,中毒,term_sheet4_self,0.6
中毒,中毒等,term_sheet3_self,0.6
中毒,湿阻阳气,term_sheet2,1.0
中毒,肝火燔耳,term_sheet2,1.0
中毒/中毒,中毒,term_sheet2,1.0
中毒等,中毒,term_sheet3_self,0.6
中毒等,中毒等,term_sheet3_self,0.6
中气下陷,中气下陷,term_sheet2,1.0
中气下陷,中气不足,term_sheet2,1.0
中气下陷,中气虚,term_sheet2,1.0
中气下陷,发蛀脱发(脂溢性脱发),term_sheet2,1.0
中气下陷,外痔,term_sheet2,1.0
中气下陷,气陷(中气下陷),term_sheet2,1.0
中气下陷/中气不足,中气不足,term_sheet2,1.0
中气下陷/中气不足,中气虚,term_sheet2,1.0
中气下陷/中气虚,中气不足,term_sheet2,1.0
中气下陷/中气虚,中气虚,term_sheet2,1.0
中气下陷证,中气下陷,term_sheet2,1.0
中气下陷证,中气下陷证,term_sheet3_self,0.6
中气下陷证,中气下陷证,term_sheet4_self,0.6
