symptom,tea_name,course,source_row,raw_symptom
改善心肺功能弱,元气茶,10袋,2,"气虚,改善心肺功能弱,易疲劳"
易疲劳,元气茶,10袋,2,"气虚,改善心肺功能弱,易疲劳"
有湿气,六宝茶,10袋,3,"有湿气,手脚不温"
手脚不温,六宝茶,10袋,3,"有湿气,手脚不温"
高血脂,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸
高血糖,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸
高血压,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸
高尿酸,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸
流感,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
咽炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
支气管炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
慢性支气管炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
肺气肿,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
肺结节,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节"
眼底血管病,甘平茶,20袋,6,"眼底血管病,糖尿病"
高血压,平澜茶,20袋,7,高血压
高血脂,风清茶,20袋,8,高血脂
痛风,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全
肾结石,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全
肾炎,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全
肾功能不全,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全
急慢性胃炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
十二指肠球部溃疡,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
肠化生,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
反流性食道炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
胃酸过多,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
急慢性肠炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘"
护肝明目,桑菊茶,10袋,11,护肝明目、缓解眼疲劳
缓解眼疲劳,桑菊茶,10袋,11,护肝明目、缓解眼疲劳
记忆力减退,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍"
注意力不集中,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍"
自闭症,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍"
老年痴呆,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍"
偏执型人格障碍,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍"
脂肪肝,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
肝炎,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
胆结石,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
护肝利胆,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
抗病毒,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
抗脂肪化,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
抗纤维化,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化"
腰酸腿软,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
女性宫寒,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
月经不调,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
痛经,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
腰酸腿软,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
面容枯暗,固本茶,10袋,14,"男性阳痿、早泄、腰酸腿软;女性宫寒、月经
不调,痛经,腰酸腿软,面容枯暗"
心肌炎,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足"
心肌炎后遗症,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足"
冠心病,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足"
心脏亚健康,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足"
各类结节病,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
癌前病变,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
肠化生,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
子宫肌瘤,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
卵巢囊肿,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
乳腺结节,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
慢性肠炎,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
甲状腺结节,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节"
体重超标,清和茶,20袋,17,"体重超标,肥胖"
